# CSV-File created with merge-csv.com
# -----------------------------------------------------------

id1,id2,joinKey1,joinKey2,OG-Company-Warn,OG-Company-Nasdaq,jaccard
39485,SWN,"[southwestern,energy,company]","[southwestern,energy,company,common,stock]",Southwestern Energy Company,Southwestern Energy Company Common Stock,0.6
528,NOC,"[northrop,grumman,corporation]","[northrop,grumman,corporation,common,stock]",NORTHROP GRUMMAN CORPORATION,Northrop Grumman Corporation Common Stock,0.6
6496,IMH,"[impac,mortgage,holdings,inc]","[impac,mortgage,holdings,inc,common,stock]",Impac Mortgage Holdings Inc,Impac Mortgage Holdings Inc. Common Stock,0.6666666666666666
8370,EXTR,"[extreme,networks,inc]","[extreme,networks,inc,common,stock]","Extreme Networks, Inc.",Extreme Networks Inc. Common Stock,0.6
5428,VIEWW,"[view,inc]","[view,inc,warrant]",View Inc,View Inc. Warrant,0.6666666666666666
8777,MOH,"[molina,healthcare,inc]","[molina,healthcare,inc,common,stock]","Molina Healthcare, Inc.",Molina Healthcare Inc Common Stock,0.6
16021,CRD/A,"[crawford,company]","[crawford,company]",Crawford & Company,Crawford & Company,1.0
40201,HAIN,"[the,hain,celestial,group,inc]","[hain,celestial,group,inc,the,common,stock]","The Hain Celestial Group, Inc",Hain Celestial Group Inc. (The) Common Stock,0.7142857142857143
818,IP,"[international,paper,company]","[international,paper,company,common,stock]",INTERNATIONAL PAPER COMPANY,International Paper Company Common Stock,0.6
11047,PH,"[parker,hannifin,corporation]","[parker,hannifin,corporation,common,stock]",Parker Hannifin Corporation,Parker-Hannifin Corporation Common Stock,0.6
1869,M,"[macy,s,inc]","[macy,s,inc,common,stock]",Macy's Inc.,Macy's Inc Common Stock,0.6
28235,CC,"[the,chemours,company]","[chemours,company,the,common,stock]",The Chemours Company,Chemours Company (The) Common Stock,0.6
33073,M,"[macy,s,inc]","[macy,s,inc,common,stock]",Macy's Inc,Macy's Inc Common Stock,0.6
807,LPX,"[louisiana,pacific,corporation]","[louisiana,pacific,corporation,common,stock]",LOUISIANA- PACIFIC CORPORATION,Louisiana-Pacific Corporation Common Stock,0.6
