id1,id2,joinKey1,joinKey2,OG-Company-Warn,OG-Company-Nasdaq,jaccard
38125,ARMK,[aramark],[aramark],Aramark,Aramark Common Stock,1.0
40087,GIC,"[global,industrial,services]","[global,industrial]",Global Industrial Services Inc.,Global Industrial Company Common Stock,0.6666666666666666
40270,UAL,"[united,airlines]","[united,airlines,holdings]","United Airlines, Inc.",United Airlines Holdings Inc. Common Stock,0.6666666666666666
40679,NRG,"[nrg,energy]","[nrg,energy]","NRG Energy, Inc.",NRG Energy Inc. Common Stock,1.0
44598,BLMN,"[bloomin,brands]","[bloomin,brands]",Bloomin Brands,Bloomin' Brands Inc. Common Stock,1.0
8987,TRUE,[truecar],[truecar],"TrueCar, Inc.",TrueCar Inc. Common Stock,1.0
10247,BANC,"[banc,of,california,n,a]","[banc,of,california]","Banc of California, N.A.",Banc of California Inc. Common Stock,0.6
10861,WSM,"[williams,sonoma]","[williams,sonoma,de]","Williams-Sonoma, Inc.",Williams-Sonoma Inc. Common Stock (DE),0.6666666666666666
11405,BA,[boeing],[boeing],Boeing Company,Boeing Company (The) Common Stock,1.0
11932,BA,[boeing],[boeing],Boeing Co,Boeing Company (The) Common Stock,1.0
19750,MET,[metlife],[metlife],MetLife,MetLife Inc. Common Stock,1.0
20414,BA,[boeing],[boeing],Boeing,Boeing Company (The) Common Stock,1.0
20434,KO,"[coca,cola,enterprises]","[coca,cola]","Coca-Cola Enterprises, Inc.",Coca-Cola Company (The) Common Stock,0.6666666666666666
22285,PLAY,"[dave,buster,s]","[dave,buster,s,entertainment]",Dave & Buster's,Dave & Buster's Entertainment Inc. Common Stock,0.75
24633,IP,"[international,paper]","[international,paper]",International Paper,International Paper Company Common Stock,1.0
27313,FLWS,"[1,800,flowers,com]","[1,800,flowers,com]","1-800-Flowers.com, Inc.",1-800-FLOWERS.COM Inc. Common Stock,1.0
38590,BA,[boeing],[boeing],Boeing,Boeing Company (The) Common Stock,1.0
43589,WFC,"[wells,fargo]","[wells,fargo]",Wells Fargo,Wells Fargo & Company Common Stock,1.0
43648,HALL,"[hallmark,financial,services]","[hallmark,financial,services]",Hallmark Financial Services,Hallmark Financial Services Inc. Common Stock,1.0
44037,ILMN,[illumina],[illumina],"Illumina, Inc.",Illumina Inc. Common Stock,1.0
10414,HPE,"[hewlett,packard,enterprise]","[hewlett,packard,enterprise]",Hewlett Packard Enterprise,Hewlett Packard Enterprise Company Common Stock,1.0
12136,INTU,[intuit],[intuit],Intuit Inc.,Intuit Inc. Common Stock,1.0
15910,NCR,[ncr],[ncr],NCR,NCR Corporation Common Stock,1.0
16020,CRD/B,[crawford],[crawford],Crawford & Company,Crawford & Company,1.0
16285,TKR,[timken],[timken],Timken,Timken Company (The) Common Stock,1.0
17038,ROK,"[rockwell,automation]","[rockwell,automation]",Rockwell Automation,Rockwell Automation Inc. Common Stock,1.0
19142,RSG,"[republic,services]","[republic,services]",Republic Services,Republic Services Inc. Common Stock,1.0
19633,TPIC,"[tpi,composites]","[tpi,composites]",TPI Composites,TPI Composites Inc. Common Stock,1.0
20187,BA,[boeing],[boeing],Boeing,Boeing Company (The) Common Stock,1.0
20260,BA,[boeing],[boeing],Boeing,Boeing Company (The) Common Stock,1.0
2168,GE,"[general,electric]","[general,electric]",General Electric Company,General Electric Company Common Stock,1.0
22501,WMT,[walmart],[walmart],Walmart,Walmart Inc. Common Stock,1.0
25207,LMT,"[lockheed,martin]","[lockheed,martin]",Lockheed Martin,Lockheed Martin Corporation Common Stock,1.0
26105,BAC,"[bank,of,america]","[bank,of,america]",Bank of America,Bank of America Corporation Common Stock,1.0
32065,KR,[kroger],[kroger],Kroger,Kroger Company (The) Common Stock,1.0
36768,BA,[boeing],[boeing],Boeing Company,Boeing Company (The) Common Stock,1.0
37802,INTU,[intuit],[intuit],Intuit,Intuit Inc. Common Stock,1.0
38420,MCK,[mckesson],[mckesson],McKesson,McKesson Corporation Common Stock,1.0
40725,AYI,"[acuity,brands,lighting]","[acuity,brands]",Acuity Brands Lighting,Acuity Brands Inc.,0.6666666666666666
43038,BAFN,"[bayfirst,financial]","[bayfirst,financial]",BayFirst Financial,BayFirst Financial Corp. Common Stock,1.0
43351,HCI,[hci],[hci],"HCI, LLC",HCI Group Inc. Common Stock,1.0
44616,SPPI,"[spectrum,pharmaceuticals]","[spectrum,pharmaceuticals]",Spectrum Pharmaceuticals,Spectrum Pharmaceuticals Inc.Common Stock,1.0
8317,BA,[boeing],[boeing],Boeing Company,Boeing Company (The) Common Stock,1.0
8741,AJRD,"[aerojet,rocketdyne]","[aerojet,rocketdyne,holdings]",Aerojet Rocketdyne,Aerojet Rocketdyne Holdings Inc. Common Stock,0.6666666666666666
